index,file,obj_id,class,xmax,xmin,ymax,ymin
3298,2009_003546,1,aeroplane,500,473,214,173
3300,2008_004899,3,aeroplane,269,187,212,185
3310,2009_001437,0,sofa,500,230,333,141
3316,2011_004490,0,person,273,41,264,24
3329,2008_002542,6,person,500,297,375,26
3335,2012_001041,0,person,246,80,180,1
3347,2009_001345,0,aeroplane,500,75,375,35
3355,2008_007374,0,aeroplane,484,1,333,11
3372,2008_001063,1,person,458,308,375,106
3378,2009_003208,0,sofa,456,204,300,121
3379,2011_000806,2,person,394,196,333,143
3381,2008_003106,0,bird,290,239,261,197
3382,2008_003106,1,bird,463,388,289,213
3383,2008_003106,2,bird,113,9,276,209
3405,2007_000452,0,sofa,295,50,338,121
3413,2009_000932,0,bird,333,78,500,84
3419,2009_000926,0,sofa,500,372,375,216
3423,2011_000621,2,sofa,254,32,326,263
3429,2011_001259,0,bird,231,122,266,129
3430,2010_004991,0,aeroplane,358,163,212,140
3434,2010_001619,3,person,265,233,323,187
3437,2010_001619,6,person,488,419,362,146
3448,2008_008084,1,person,292,87,488,35
3451,2010_002310,0,aeroplane,445,62,268,139
3454,2012_003865,0,person,173,86,405,197
3457,2011_001503,1,sofa,500,390,375,281
3460,2007_005264,0,bird,457,207,500,93
3461,2007_005264,1,bird,293,19,500,47
3475,2012_001900,0,person,168,137,214,160
3518,2008_000547,1,person,500,383,375,226
3526,2008_002350,0,bird,388,191,269,91
3529,2011_006481,0,person,227,152,226,92
3538,2009_000661,0,aeroplane,190,125,53,31
3539,2009_000661,1,aeroplane,252,186,75,56
3540,2009_000661,2,aeroplane,500,1,377,181
3554,2008_005365,2,person,425,363,398,168
3558,2009_004375,0,bird,286,169,219,144
3560,2010_001962,0,sofa,500,17,334,82
3563,2008_008127,2,person,349,285,289,115
3566,2010_003146,2,sofa,328,3,288,1
3567,2008_001856,0,bird,500,132,307,59
3573,2009_002937,0,bird,262,179,186,132
3579,2011_006330,2,person,498,425,214,69
3581,2010_000329,0,sofa,443,68,306,89
3597,2012_003939,0,person,369,278,365,114
3604,2008_004084,8,person,348,334,170,140
3606,2008_004084,10,person,417,319,333,141
3634,2011_001463,0,bird,275,181,214,143
3637,2010_003608,1,person,285,1,375,75
3641,2011_003260,5,person,487,458,274,190
3653,2010_004601,1,aeroplane,399,78,221,91
3658,2009_003156,1,sofa,114,1,265,206
3659,2009_003156,2,sofa,334,1,500,108
3660,2008_004251,1,bird,127,63,102,69
3662,2008_000037,0,aeroplane,450,47,282,157
3663,2009_001741,0,bird,213,161,184,151
3667,2008_007758,0,aeroplane,220,46,205,145
3668,2008_007758,1,aeroplane,478,384,198,148
3669,2008_007758,2,aeroplane,465,264,206,136
3675,2009_001999,0,bird,236,20,226,49
3676,2009_001999,1,bird,500,292,242,21
3681,2008_001329,5,person,129,108,263,179
3685,2009_001027,0,aeroplane,500,13,247,118
3701,2010_001584,0,bird,422,347,186,71
3704,2008_008319,4,person,61,10,210,63
3714,2008_007994,0,bird,432,192,236,36
3724,2008_007764,0,aeroplane,373,155,197,99
3742,2008_005601,1,bird,242,195,293,233
3743,2008_005601,2,bird,202,149,198,159
3745,2009_004177,0,sofa,249,168,230,166
3746,2012_004273,0,person,239,122,407,194
3753,2010_005053,0,bird,256,87,223,87
3754,2010_005053,1,bird,448,61,219,100
3771,2009_005282,0,bird,307,42,493,124
3772,2010_003344,0,bird,260,219,267,218
3773,2010_003344,1,bird,217,178,269,214
3774,2010_003344,2,bird,290,187,224,105
3789,2009_004188,0,sofa,500,1,372,101
3792,2010_001547,0,sofa,319,189,316,178
3793,2010_001547,2,sofa,169,65,229,165
3819,2011_000219,1,bird,393,312,291,162
3821,2011_001107,0,sofa,499,77,375,17
3823,2010_000671,1,sofa,350,45,471,317
3824,2010_000671,2,person,347,90,401,325
3834,2009_001972,0,bird,238,34,433,215
3841,2010_000103,0,bird,223,180,282,172
3854,2008_008496,0,aeroplane,423,88,217,116
3859,2007_000068,0,bird,266,27,375,45
3863,2008_000960,0,bird,157,58,418,42
3864,2008_000960,1,bird,280,184,403,117
3880,2011_001139,0,bird,386,140,152,20
3881,2011_001139,1,bird,226,77,226,38
3889,2009_004820,0,aeroplane,500,1,290,2
3913,2009_001794,8,person,412,366,258,192
3938,2009_004161,0,sofa,495,1,375,1
3940,2008_003266,1,person,495,475,260,207
3945,2009_003168,0,bird,305,108,468,141
3951,2008_008455,0,bird,327,61,312,125
3952,2009_002262,0,bird,364,112,500,87
3955,2008_003514,2,person,278,192,375,138
3959,2009_004175,0,person,387,339,247,168
3969,2007_005845,1,person,500,236,349,2
3971,2012_001447,0,person,429,192,375,228
3974,2012_000759,0,person,240,197,414,340
3976,2011_002395,0,sofa,432,158,295,127
3981,2009_001743,2,sofa,500,1,375,12
3986,2009_003154,4,person,404,308,295,139
3989,2009_000449,0,sofa,333,1,500,1
3991,2011_002381,0,bird,368,80,207,9
3992,2011_002381,1,bird,220,67,484,368
3993,2011_002381,2,bird,370,136,442,312
3996,2008_000021,0,aeroplane,475,14,288,148
4003,2008_002150,2,bird,500,453,74,35
4009,2010_001586,6,sofa,454,261,384,283
4013,2011_003276,0,bird,292,264,217,142
4019,2007_003011,3,sofa,385,198,258,192
4020,2007_003011,4,sofa,478,274,374,218
4037,2011_001475,0,person,374,2,140,1
4060,2012_001692,1,person,380,108,500,137
4067,2010_001747,1,sofa,314,1,500,92
4068,2008_004938,0,sofa,364,1,436,133
4071,2010_000459,0,bird,282,233,223,181
4077,2011_007038,0,person,427,261,333,80
4078,2007_000256,0,aeroplane,491,8,232,96
4082,2012_004067,0,person,332,1,500,44
4085,2008_005373,1,aeroplane,500,18,238,23
4086,2010_001974,0,bird,362,307,214,158
4088,2008_001673,0,bird,289,201,257,116
4089,2008_001673,1,bird,292,231,91,32
4096,2008_008125,0,bird,367,219,333,107
4097,2008_008125,1,bird,240,130,250,119
4100,2010_001960,0,sofa,500,1,374,131
4106,2012_004073,1,person,62,17,292,178
4110,2010_003811,2,person,178,147,93,68
4111,2009_000677,0,bird,500,125,333,1
4117,2009_001541,0,aeroplane,154,1,110,82
4118,2009_001541,1,aeroplane,156,1,223,142
4119,2009_001541,2,aeroplane,500,55,283,57
4120,2009_000887,0,aeroplane,500,13,301,37
4133,2008_006120,12,person,348,180,196,82
4135,2008_006120,14,person,120,13,201,78
4145,2010_001784,0,bird,148,60,68,30
4146,2010_001784,1,bird,300,141,171,85
4163,2008_002434,0,person,235,59,204,1
4165,2008_002434,2,sofa,488,34,332,68
4172,2010_002312,0,sofa,500,1,332,59
4174,2012_001916,0,person,345,178,375,49
4175,2008_008086,0,aeroplane,373,111,325,234
4181,2010_004777,0,bird,27,1,233,149
4182,2010_004777,1,bird,260,201,199,144
4183,2010_004777,2,bird,298,251,193,144
4186,2010_002460,0,aeroplane,352,225,250,205
4189,2007_005266,0,sofa,344,47,375,195
4192,2012_001094,0,person,256,197,182,67
4193,2009_000930,0,bird,201,134,402,228
4198,2011_004451,0,person,258,235,301,240
4204,2011_005997,1,person,265,174,235,145
4220,2010_004987,0,person,214,137,170,46
4224,2009_001390,0,aeroplane,478,8,223,107
4228,2011_002752,0,sofa,440,24,375,310
4245,2008_003110,0,bird,250,25,328,119
4246,2008_003110,1,bird,391,194,297,85
4247,2008_003110,2,bird,467,289,245,40
4248,2008_000419,0,sofa,458,1,375,22
4250,2009_004203,0,aeroplane,483,23,222,113
4256,2009_004565,0,bird,225,76,407,86
4272,2009_001435,0,aeroplane,494,9,264,93
4283,2011_002949,5,person,49,14,353,232
4307,2010_000707,0,bird,301,225,331,160
4310,2011_002578,0,bird,489,414,316,243
4313,2008_008284,0,bird,327,100,407,84
4324,2009_001810,0,person,375,1,500,46
4330,2010_000075,0,bird,432,55,500,41
4340,2011_003114,7,person,350,326,152,128
4346,2008_000814,1,person,500,220,290,95
4353,2009_003785,0,sofa,377,1,375,140
4358,2008_004482,0,person,109,27,209,97
4372,2010_002892,0,aeroplane,301,156,205,130
4373,2011_002222,0,aeroplane,370,112,279,122
4392,2008_005788,1,person,456,187,344,116
4393,2008_005788,2,sofa,500,279,269,56
4409,2008_006281,0,bird,472,65,306,71
4411,2008_008247,0,aeroplane,146,89,174,150
4412,2008_008247,1,aeroplane,146,87,196,177
4422,2012_002774,0,person,218,1,375,7
4425,2009_004001,0,bird,435,61,333,11
4431,2008_006256,0,sofa,500,1,375,70
4441,2010_003597,2,sofa,442,1,375,180
4442,2010_003597,3,sofa,500,357,375,171
4459,2007_007698,0,aeroplane,327,185,210,142
4462,2009_003020,1,person,316,294,242,184
4474,2011_001924,0,bird,250,136,222,108
4478,2009_004983,0,sofa,375,127,500,1
4479,2012_001241,0,person,271,237,226,165
4481,2008_004455,0,person,139,1,251,55
4494,2008_008508,0,aeroplane,478,209,322,87
4495,2008_008508,1,aeroplane,137,13,203,152
4496,2010_002844,1,person,268,212,167,65
4511,2011_002592,3,person,492,468,85,61
4518,2010_005681,2,sofa,500,1,375,1
4529,2009_004996,0,bird,347,272,244,190
4530,2009_004996,1,bird,171,121,92,71
4536,2010_002688,0,bird,451,304,170,88
4537,2012_001254,0,person,289,74,296,57
4542,2012_002775,0,person,365,95,375,57
4544,2009_000500,0,aeroplane,500,1,264,101
4546,2008_006519,1,person,296,235,305,134
4551,2008_007161,0,aeroplane,468,32,258,86
4553,2011_006910,0,person,156,53,197,39
4559,2009_002465,0,bird,461,442,83,52
4560,2009_002465,1,bird,283,266,48,21
4561,2009_002465,2,bird,147,119,216,201
4562,2009_002465,3,bird,48,29,67,43
4565,2008_008246,2,person,195,95,352,113
4572,2008_003475,0,aeroplane,127,21,104,81
4573,2008_003475,1,aeroplane,272,95,151,107
4574,2008_003475,2,aeroplane,492,151,220,130
4584,2010_002887,1,person,283,1,375,1
4585,2008_000197,0,aeroplane,230,95,203,134
4589,2010_002139,2,person,238,186,189,51
4592,2008_000829,2,person,500,292,375,61
4598,2011_001058,5,person,500,409,321,24
4599,2008_004497,0,sofa,500,1,340,97
4605,2011_000434,0,sofa,500,178,288,104
4607,2011_000434,3,sofa,500,377,375,262
4637,2008_005979,0,sofa,333,1,500,83
4639,2011_000408,2,person,135,1,255,93
4646,2009_004969,0,aeroplane,400,54,279,121
4647,2009_004969,1,aeroplane,414,362,142,104
4648,2009_004969,2,aeroplane,276,231,124,108
4649,2008_002970,0,bird,229,138,343,151
4650,2010_003569,0,sofa,500,1,375,1
4663,2009_005120,0,aeroplane,487,15,230,97
4666,2011_000187,0,person,338,153,395,18
4699,2009_003545,6,sofa,500,432,198,164
4700,2011_002784,1,sofa,500,265,242,167
4701,2011_002784,2,sofa,500,182,375,220
4713,2009_002673,0,sofa,387,49,321,133
4715,2011_002974,2,person,85,1,161,1
4720,2008_008050,0,aeroplane,500,1,338,19
4737,2008_008044,0,aeroplane,500,1,260,83
4746,2010_003025,0,aeroplane,496,24,198,75
4747,2009_001385,0,bird,135,79,179,41
4748,2009_001385,1,bird,410,291,224,173
4749,2009_001385,2,bird,500,412,251,210
4750,2009_001385,3,bird,428,253,317,258
4751,2009_001385,4,bird,319,135,266,52
4755,2010_003743,0,bird,362,80,358,14
4756,2009_000925,0,sofa,500,1,311,1
4766,2008_003688,0,aeroplane,438,87,282,146
4767,2008_003688,1,aeroplane,500,420,267,207
4771,2010_001140,1,sofa,500,1,333,1
4774,2011_004450,1,person,397,273,375,74
4801,2008_008093,3,person,322,212,257,144
4817,2010_002461,0,sofa,500,1,332,124
4822,2007_007470,0,aeroplane,371,143,277,32
4823,2010_004010,0,aeroplane,485,1,304,79
4824,2011_003303,0,person,329,229,262,110
4829,2011_001514,0,aeroplane,386,69,212,101
4852,2011_005835,2,person,114,69,329,185
4854,2009_001554,0,bird,347,213,230,132
4856,2011_002196,0,person,308,129,375,126
4865,2009_005040,0,bird,389,250,243,71
4866,2011_006496,0,person,365,147,500,141
4868,2008_003059,0,aeroplane,271,144,175,115
4869,2008_001896,1,sofa,207,1,333,174
4871,2008_005400,0,bird,166,106,170,130
4875,2008_006109,0,aeroplane,132,25,170,128
4885,2008_008642,0,sofa,477,1,332,47
4891,2008_003703,0,aeroplane,488,15,217,83
4896,2009_000662,0,aeroplane,213,74,132,67
4897,2010_003804,0,sofa,347,172,320,213
4901,2008_007565,1,person,254,86,500,102
4904,2008_008130,0,aeroplane,488,5,363,1
4905,2011_002814,8,sofa,342,1,375,261
4908,2009_002713,0,sofa,388,1,379,108
4915,2012_003084,1,person,500,357,333,105
4919,2009_002920,0,bird,405,77,254,109
4925,2007_001149,0,sofa,403,148,302,138
4928,2010_001020,0,aeroplane,414,150,275,91
4930,2010_001020,2,person,213,202,270,244
4934,2008_004087,0,bird,484,386,173,16
4935,2008_004087,1,bird,362,274,187,46
4936,2008_004087,2,bird,331,166,251,35
4937,2008_004087,3,bird,150,39,240,105
4938,2008_004087,4,bird,180,55,435,267
4939,2009_003394,0,sofa,470,1,337,56
4946,2008_006684,2,person,484,87,378,64
4947,2007_000243,0,aeroplane,274,181,193,127
4949,2010_005534,0,aeroplane,477,168,231,107
4950,2008_002384,0,person,337,177,375,161
4960,2007_001175,0,person,367,119,329,153
4965,2009_000879,0,bird,237,119,291,121
4978,2011_003511,0,person,263,86,342,29
4980,2010_002267,0,bird,264,140,464,46
4984,2008_001869,0,sofa,485,343,329,202
4988,2011_002380,0,aeroplane,499,1,314,154
4990,2011_001689,0,sofa,500,118,375,258
4993,2008_004520,0,bird,281,81,335,140
4995,2009_004148,1,person,259,70,455,147
4998,2008_002151,0,aeroplane,500,3,242,52
5010,2012_001446,2,person,217,137,283,42
5018,2008_004534,1,person,313,190,500,140
5025,2011_001845,2,sofa,492,1,373,133
5058,2009_000474,2,sofa,500,2,333,117
5073,2009_004174,0,bird,392,258,250,201
5074,2009_004174,1,bird,300,180,156,104
5075,2009_004174,2,bird,159,86,111,76
5076,2009_004174,3,bird,136,80,281,215
5088,2011_000554,0,bird,478,435,258,156
5089,2011_000554,1,bird,462,388,273,161
5090,2011_000554,2,bird,407,365,240,150
5091,2011_000554,3,bird,376,351,229,145
5092,2011_000554,4,bird,349,310,289,174
5093,2011_000554,5,bird,304,259,272,160
5094,2011_000554,6,bird,349,304,229,146
5095,2011_000554,7,bird,323,268,221,129
5096,2011_000554,8,bird,291,270,165,130
5097,2011_000554,9,bird,256,230,209,129
5098,2011_000554,10,bird,247,187,227,137
5099,2011_000554,11,bird,225,145,309,192
5100,2011_000554,12,bird,166,106,300,192
5101,2011_000554,13,bird,127,54,286,177
5102,2011_000554,14,bird,76,8,263,162
5103,2011_000554,15,bird,145,109,196,149
5104,2011_000554,16,bird,190,137,214,145
5105,2011_000554,17,bird,209,161,200,131
5112,2010_003353,0,aeroplane,500,20,247,58
5113,2008_000785,0,bird,403,152,337,168
5116,2011_000232,0,bird,298,216,214,171
5117,2011_000232,1,bird,301,210,244,213
5132,2011_003049,5,sofa,358,134,270,152
5133,2011_003049,7,sofa,226,140,158,126
5135,2008_007940,0,bird,480,22,368,52
5139,2009_001781,0,aeroplane,488,14,311,88
5141,2008_002838,0,person,380,175,472,143
5148,2010_003409,2,person,223,147,295,185
5151,2007_001377,0,aeroplane,318,273,250,163
5162,2010_002065,0,aeroplane,495,6,239,61
5164,2011_001662,1,sofa,449,1,375,115
5174,2008_006387,0,sofa,81,1,375,210
5178,2011_003990,0,person,500,407,375,219
5181,2008_000090,1,person,319,251,182,40
5186,2011_002330,2,person,214,183,146,98
5193,2009_004846,0,aeroplane,500,10,286,66
5199,2007_000032,0,aeroplane,375,104,183,78
5200,2007_000032,1,aeroplane,197,133,123,88
5205,2010_005023,0,bird,263,146,214,145
5222,2010_006502,1,person,177,122,391,245
5225,2011_001605,2,person,131,75,159,12
5228,2011_003012,0,aeroplane,414,351,68,34
5229,2011_003012,1,aeroplane,350,289,66,41
5230,2011_003012,2,aeroplane,500,110,375,16
5237,2007_002619,0,aeroplane,345,26,476,15
5240,2011_000269,0,bird,375,239,364,51
5241,2011_000269,1,bird,145,1,438,255
5246,2011_003760,2,person,376,191,500,1
5257,2008_005895,0,bird,347,103,179,131
5264,2011_004782,1,person,402,266,384,86
5267,2012_001347,1,person,395,298,232,115
5268,2008_006436,0,sofa,348,1,212,1
5271,2009_001731,0,sofa,347,190,265,199
5275,2008_004221,3,person,408,324,290,72
5280,2011_006181,0,person,182,108,239,128
5284,2009_003640,0,bird,360,91,315,96
5289,2008_005881,2,person,97,1,234,125
5293,2011_001188,0,aeroplane,312,170,241,72
5300,2009_001719,1,sofa,500,1,317,39
5301,2008_008433,0,sofa,424,1,374,117
5306,2009_004661,0,bird,321,141,383,61
5307,2009_004661,1,bird,196,9,405,116
5310,2011_004972,0,person,457,229,375,9
5311,2008_007714,0,bird,251,216,85,47
5312,2008_007714,1,bird,276,227,125,94
5313,2008_007714,2,bird,243,219,241,207
5314,2008_007714,3,bird,298,272,242,211
5315,2008_007714,4,bird,297,272,327,287
5317,2009_000375,0,sofa,200,1,500,383
5330,2011_000725,0,sofa,499,1,332,165
5337,2011_002132,0,aeroplane,357,125,242,107
5338,2012_001186,0,person,69,10,311,144
5344,2010_003122,1,person,500,117,333,51
5346,2008_006185,1,person,376,363,375,356
5351,2007_001884,3,aeroplane,435,130,211,112
5365,2007_002427,0,sofa,261,161,228,143
5366,2007_002427,1,sofa,137,1,240,60
5369,2011_000731,10,person,110,21,268,180
5370,2008_002491,0,person,104,2,400,182
5382,2011_001407,0,aeroplane,491,12,231,95
5399,2008_008194,0,bird,344,11,297,104
5402,2010_002200,0,aeroplane,414,81,212,100
5403,2010_002200,4,aeroplane,251,125,209,147
5404,2010_004665,0,sofa,238,1,500,285
5410,2008_008180,0,aeroplane,413,178,194,111
5411,2008_008180,1,aeroplane,342,119,253,175
5423,2008_000251,0,aeroplane,410,24,245,14
5424,2008_000251,1,aeroplane,500,213,171,53
5425,2008_000251,2,aeroplane,220,88,166,93
5437,2009_003456,0,aeroplane,500,1,270,35
5447,2009_001241,0,sofa,250,4,375,212
5451,2008_006152,2,person,352,181,375,81
5453,2011_002683,1,person,157,24,318,105
5487,2010_001127,1,sofa,500,367,181,78
5488,2010_001127,2,sofa,453,43,375,168
5490,2009_002199,0,aeroplane,452,219,104,30
5491,2009_002199,1,aeroplane,260,33,322,236
5505,2008_003189,0,aeroplane,474,3,291,85
5506,2008_003189,1,aeroplane,500,475,149,116
5507,2011_001229,0,bird,458,54,260,48
5512,2011_000137,0,sofa,325,220,298,262
5515,2011_000137,3,person,295,158,311,109
5520,2012_003197,0,person,377,199,439,1
5526,2008_002283,5,person,232,104,375,56
5528,2010_003724,1,bird,370,210,310,89
5533,2010_004063,0,aeroplane,406,128,275,137
5538,2011_001215,3,sofa,279,70,251,132
5539,2008_004802,0,aeroplane,486,14,213,88
5540,2010_002374,0,bird,440,405,111,75
5541,2010_002374,1,bird,377,252,231,118
5542,2007_009348,0,aeroplane,363,145,209,90
5544,2011_001201,0,sofa,498,1,375,1
5551,2011_001567,2,sofa,212,2,261,140
5552,2011_001567,3,person,382,208,333,183
5563,2007_007417,2,sofa,499,1,269,2
5564,2010_005382,0,aeroplane,485,38,190,53
5565,2009_001453,0,bird,500,318,253,106
5566,2009_001453,1,bird,325,146,316,118
5567,2009_001453,2,bird,173,38,261,41
5568,2009_000995,0,sofa,333,36,432,270
5591,2010_003081,0,bird,382,180,286,127
5594,2009_001321,0,aeroplane,500,1,333,1
5595,2009_001321,1,aeroplane,372,287,284,267
5597,2008_004631,0,aeroplane,493,35,203,53
5598,2008_004631,1,aeroplane,199,1,199,120
5600,2010_000588,3,sofa,500,279,375,98
5602,2008_002526,0,person,375,262,500,367
5619,2009_001447,10,person,394,375,164,143
5622,2009_001447,13,person,414,292,279,94
5624,2008_006998,0,person,496,50,333,1
5625,2011_002091,0,aeroplane,383,3,245,64
5627,2008_003610,0,person,100,46,307,77
5632,2009_003278,0,aeroplane,500,22,266,76
5641,2008_005507,0,bird,392,76,393,93
5643,2009_002614,0,aeroplane,416,8,278,82
5645,2008_008037,0,bird,383,39,323,102
5646,2008_001775,0,person,500,228,337,84
5660,2008_007853,1,person,500,221,250,24
5670,2012_002935,0,person,387,230,272,73
5671,2010_002638,0,aeroplane,500,22,260,81
5672,2010_002638,1,aeroplane,473,299,197,166
5674,2010_003526,1,bird,339,115,375,130
5693,2011_003628,1,person,248,193,296,162
5729,2008_008590,2,sofa,285,43,323,151
5730,2008_008590,3,sofa,171,1,359,228
5739,2009_000229,0,bird,377,260,264,174
5750,2011_001956,1,person,275,122,302,37
5758,2010_005180,0,sofa,500,344,375,220
5759,2008_007884,3,aeroplane,408,149,169,68
5761,2009_003052,0,bird,311,198,288,194
5762,2008_004433,0,aeroplane,258,200,212,195
5779,2009_004073,2,sofa,375,2,499,60
5791,2008_005063,2,person,240,80,375,133
5793,2009_004701,0,sofa,500,229,368,180
5799,2009_002370,1,sofa,500,1,333,1
5804,2008_003360,0,bird,397,153,258,56
5805,2012_000104,0,person,236,182,192,78
5806,2008_007661,0,bird,264,235,181,149
5816,2008_002719,0,aeroplane,475,210,250,34
5831,2008_008546,0,aeroplane,286,237,173,145
5832,2008_004354,1,person,312,223,265,39
5841,2011_000485,1,person,433,152,333,2
5843,2008_006543,3,sofa,290,263,355,286
5844,2009_001644,2,sofa,288,112,220,153
5845,2009_001644,3,sofa,68,1,255,158
5852,2012_003357,0,person,305,132,343,85
5853,2008_002043,0,bird,495,96,205,17
5854,2012_002049,0,person,195,1,375,211
5856,2010_001481,0,bird,322,233,397,305
5857,2011_006786,0,person,300,114,330,147
5863,2009_001888,0,sofa,164,1,384,251
5864,2009_001888,1,sofa,500,253,384,281
5865,2008_001238,2,sofa,500,1,375,92
5866,2008_007891,0,bird,328,185,282,53
5872,2011_001764,0,bird,336,241,193,128
5885,2009_003912,0,bird,500,105,225,94
5886,2010_006305,0,person,233,52,380,46
5889,2011_001016,0,bird,472,19,500,26
5899,2008_008585,1,sofa,500,1,375,170
5900,2011_003167,3,person,180,1,480,96
5903,2011_003167,6,person,238,159,443,130
5904,2008_002916,0,sofa,433,4,375,53
5905,2009_001687,1,person,375,207,463,193
5907,2011_001980,0,sofa,498,3,444,197
5913,2008_005089,3,person,236,116,374,262
5921,2010_000748,1,person,149,134,249,220
5925,2009_004099,1,sofa,500,262,333,1
5926,2011_000320,0,bird,292,198,280,77
5930,2008_001589,1,sofa,301,7,414,81
5940,2008_000697,0,bird,432,364,205,141
5943,2011_004152,0,person,256,168,367,197
5949,2011_004152,6,person,331,267,347,130
5951,2010_003255,0,bird,473,234,193,20
5969,2009_001693,0,bird,261,78,161,1
5970,2011_002245,0,bird,268,222,178,96
5971,2011_002245,1,bird,419,337,335,127
5978,2008_001774,0,aeroplane,256,219,203,170
5991,2008_007477,0,bird,222,149,244,203
5992,2008_000318,0,bird,382,1,500,79
5995,2008_005260,0,bird,374,336,291,224
5996,2008_005260,1,bird,230,134,285,234
5997,2008_005260,2,bird,252,174,219,176
5998,2008_005260,3,bird,121,46,218,169
5999,2008_005260,4,bird,478,398,94,44
6000,2008_005260,5,bird,239,142,162,121
6001,2008_005260,6,bird,161,79,133,93
6002,2008_005260,7,bird,35,1,154,104
6003,2008_005260,8,bird,47,1,288,242
6004,2008_005260,9,bird,299,221,360,284
6005,2008_005260,10,bird,407,369,197,146
6006,2008_005260,11,bird,500,445,248,222
6007,2008_005260,12,bird,298,247,54,15
6011,2012_002263,0,person,411,349,194,82
6012,2009_000016,0,sofa,500,1,375,14
6013,2008_008022,0,bird,446,174,336,71
6014,2008_004630,0,aeroplane,500,1,275,1
6017,2009_002629,0,bird,257,54,369,134
6021,2008_002241,2,person,61,15,470,304
6027,2010_001697,0,bird,429,74,313,141
6033,2010_004937,4,person,421,393,222,178
6039,2009_001446,0,sofa,411,1,332,124
6040,2009_000758,0,bird,409,182,369,44
6042,2012_003633,1,person,130,1,375,172
6052,2008_002533,1,sofa,500,18,286,15
6069,2010_003094,2,person,346,81,481,128
6070,2009_005152,0,bird,297,231,213,160
6072,2008_002255,0,bird,327,196,323,65
6077,2007_008043,1,person,284,14,288,9
6088,2010_004062,0,sofa,332,49,235,104
6098,2011_000122,1,sofa,498,1,373,1
6123,2010_000238,2,aeroplane,500,258,280,15
6131,2009_005191,1,bird,377,127,333,56
6135,2010_005426,0,bird,486,89,351,129
6136,2009_001268,0,sofa,256,1,308,182
6142,2008_004778,3,sofa,98,1,310,94
6146,2008_001166,1,person,403,230,333,103
6152,2008_008624,0,sofa,500,1,376,94
6166,2012_002317,1,person,17,1,260,204
6175,2011_000095,5,person,328,302,120,85
6180,2012_003021,0,person,291,103,380,132
6181,2009_003443,0,bird,244,203,159,126
6184,2010_005585,1,person,350,1,500,1
6197,2010_001085,0,aeroplane,375,1,423,110
6200,2008_004036,1,person,306,265,183,115
6201,2008_006621,0,aeroplane,499,1,232,84
6208,2010_003686,0,aeroplane,481,27,246,76
6209,2010_003686,1,aeroplane,88,2,232,198
6210,2010_003686,2,aeroplane,122,52,229,196
6214,2010_006073,0,sofa,358,112,260,155
6222,2010_004102,5,person,164,91,262,213
6227,2011_001412,1,sofa,182,1,220,107
6229,2011_000718,0,bird,267,181,227,126
6237,2011_004218,0,person,194,94,225,61
6240,2007_002368,0,sofa,75,41,277,224
6241,2007_002368,1,sofa,333,284,500,316
6242,2010_006067,0,aeroplane,336,161,159,110
6243,2009_000189,1,sofa,334,1,500,87
6244,2010_002229,0,aeroplane,202,166,60,30
6245,2010_002229,1,aeroplane,229,205,90,59
6246,2010_002229,2,aeroplane,313,139,333,38
6266,2010_000358,2,person,311,153,375,113
6269,2007_002426,1,sofa,248,38,116,2
6274,2011_004556,0,person,338,27,500,218
6278,2008_001199,5,person,122,6,327,60
6285,2008_003942,0,bird,327,9,264,99
6295,2011_000724,10,person,445,427,156,87
6299,2011_006355,0,person,184,124,202,49
6304,2009_001283,0,bird,303,220,256,58
6305,2009_001283,1,bird,359,294,179,118
6306,2009_001283,2,bird,249,187,125,73
6311,2009_004674,0,sofa,310,1,314,105
6317,2009_002205,0,bird,296,201,159,90
6318,2009_002205,1,bird,107,69,375,327
6320,2008_005664,1,person,322,302,233,209
6328,2008_008354,0,bird,311,79,486,9
6329,2009_005218,0,aeroplane,453,57,260,86
6337,2009_002211,0,aeroplane,476,1,241,53
6343,2008_008432,0,aeroplane,481,16,369,92
6349,2010_001287,0,sofa,500,172,227,44
6350,2010_001287,1,sofa,221,1,332,49
6355,2011_001837,2,sofa,229,125,218,161
6362,2008_007729,1,person,152,80,263,130
6368,2009_001056,0,aeroplane,483,14,220,71
6375,2011_001189,0,bird,205,129,182,121
6396,2008_000734,2,sofa,320,1,457,72
6409,2011_002494,0,aeroplane,500,72,268,53
6414,2010_001293,1,sofa,500,1,333,8
6416,2008_002645,0,person,234,1,375,109
6417,2008_004234,0,bird,301,214,263,118
6434,2011_000268,0,bird,264,187,238,141
6435,2011_000268,1,bird,401,234,278,129
6443,2011_003013,1,person,284,144,259,49
6446,2010_004314,2,aeroplane,438,94,248,126
6447,2010_004314,3,aeroplane,189,8,218,154
6448,2007_009759,0,bird,433,3,328,3
6452,2010_005022,0,aeroplane,491,11,235,63
6454,2007_000033,0,aeroplane,499,9,263,107
6455,2007_000033,1,aeroplane,482,421,226,200
6456,2007_000033,2,aeroplane,411,325,223,188
6468,2008_005843,0,bird,230,158,249,166
6470,2012_000931,1,person,476,415,193,111
6471,2012_000931,2,person,330,290,171,107
6484,2009_001081,0,sofa,500,1,375,1
6485,2011_003991,0,person,267,20,342,44
6489,2008_007098,0,bird,209,65,212,137
6492,2009_003696,0,aeroplane,500,13,224,49
6499,2010_001250,1,person,240,129,375,136
6503,2012_001385,0,person,468,115,375,2
6505,2009_000389,0,bird,421,350,66,30
